Season,batter,pitcher,events,stand,launch_speed,launch_angle,adjusted_angle,home_team
2026,802504,681870,field_out,R,106.1,7,-33.20745269135923,CLE
2026,829052,681870,field_out,L,70.1,11,39.91485744072153,CLE
2026,608841,681870,double,R,100.9,21,19.810580043289363,CLE
2026,821139,686857,field_out,R,97.8,18,-33.407069475781,CLE
2026,808116,686857,single,L,97.3,6,16.891667710412676,CLE
2026,666198,686857,field_out,R,69.9,-6,-6.498030959611791,CLE
2026,595453,671922,field_out,R,110.5,8,15.939774672174067,CLE
2026,815888,671922,field_out,L,68.6,9,29.859707696113816,CLE
2026,669439,671922,double,R,97.9,8,45.163031481721525,CLE
2026,808137,823990,field_out,L,91.9,26,12.50933968783477,CLE
2026,683953,823990,field_out,L,88.6,25,31.724208466097682,CLE
2026,656413,823990,home_run,R,101.5,28,-9.960528795102343,CLE
2026,692216,823990,home_run,L,105.9,27,0.3159908864723548,CLE
2026,687799,670059,field_out,L,75.5,17,-25.562823600792626,CLE
2026,681807,669434,field_out,R,82.0,76,91.29364652889784,CLE
2026,656555,823990,home_run,R,106.6,36,-39.66817578330336,CLE
2026,800050,823990,field_out,L,85.2,-6,-43.922104108627146,CLE
2026,666198,823990,single,R,107.0,5,-9.809803918306395,CLE
2026,672356,823990,single,R,112.8,9,-29.9405705086566,CLE
2026,680757,823990,triple,L,100.4,16,-2.0195456393362528,CLE
2026,691777,670059,field_out,R,97.3,-23,-23.28337355236678,CLE
2026,642851,676440,single,R,103.8,2,14.58241604440414,CLE
2026,680869,676440,field_out,R,78.8,-34,5.718181408098769,CLE
2026,815888,676440,home_run,L,103.1,25,-38.25518536580542,CLE
2026,683021,676440,single,R,98.0,2,-27.26208472504469,CLE
2026,681807,678022,field_out,R,100.6,39,14.042146699245478,CLE
2026,695720,676440,field_out,R,102.4,28,10.469049273007686,CLE
2026,687799,676440,field_out,L,65.8,-29,-45.54817779836685,CLE
2026,628451,676440,field_out,R,90.1,51,-13.31825969815071,CLE
2026,691777,676440,single,R,97.5,33,6.492596297246268,CLE
2026,642851,676440,single,R,112.5,17,-30.35941283158109,CLE
2026,687515,676440,single,R,111.4,13,-6.459319895654024,CLE
2026,680869,676440,single,R,104.4,11,23.826021291941487,CLE
2026,656555,678022,field_out,R,95.3,69,41.933789118330445,CLE
2026,800050,678022,single,L,69.2,23,32.04472360152273,CLE
2026,666198,678022,field_out,R,93.0,29,28.59376392445317,CLE
2026,672356,678022,field_out,R,84.3,-34,-31.508819350818495,CLE
