player,pos,role,team,side,game,datetime,opp,opp_total,proj,floor_p25,median_p50,ceil_p75,p10,p90,ceiling_p99,std,mean_ip,mean_bf,mean_k,mean_bb,mean_er,mean_h,mean_hr,win_pct,p_qs,p_30
Chris Sale,SP,STARTER,ATL,AWAY,ATL@CHI-A,2026-06-10T19:40:00-04:00,CHI-A,3.8,21.159,15.2,21.15,27.0,10.0,32.3,40.7,8.559,5.587,22.51,6.846,1.362,1.628,3.985,0.336,0.3992,0.4042,0.1542
Shohei Ohtani,SP,STARTER,LA,AWAY,LA@PIT,2026-06-10T18:40:00-04:00,PIT,3.7,20.425,14.35,20.5,26.25,9.3,31.3,39.95,8.515,5.514,22.21,6.66,1.598,1.746,3.825,0.453,0.3903,0.372,0.1294
Jesus Luzardo,SP,STARTER,PHI,AWAY,PHI@TOR,2026-06-10T19:07:00-04:00,TOR,4.1,18.776,13.15,18.65,24.4,8.45,29.3,37.2,8.09,5.562,22.81,6.239,1.568,2.03,4.361,0.442,0.375,0.4143,0.0861
Carlos Rodon,SP,STARTER,NY-A,AWAY,NY-A@CLE,2026-06-10T13:10:00-04:00,CLE,3.9,18.047,12.35,18.05,23.65,7.4,28.5,36.65,8.128,5.485,22.63,6.162,1.804,2.184,4.104,0.551,0.3615,0.3045,0.0711
Michael King,SP,STARTER,SD,HOME,CIN@SD,2026-06-10T16:10:00-04:00,CIN,3.8,17.934,12.25,17.85,23.45,7.4,28.6,37.35,8.197,5.48,22.48,6.12,1.767,2.149,4.166,0.541,0.3433,0.3713,0.0731
Reid Detmers,SP,STARTER,ANA,HOME,HOU@ANA,2026-06-10T21:38:00-04:00,HOU,4.3,17.741,12.0,17.65,23.25,7.15,28.5,37.0,8.24,5.552,23.03,6.287,1.906,2.381,4.171,0.632,0.3121,0.3245,0.0703
Jack Perkins,SP,STARTER,ATH,HOME,MIL@ATH,2026-06-10T21:05:00-04:00,MIL,5.1,17.482,11.9,17.4,22.95,7.1,27.9,36.2,8.033,5.744,24.32,6.215,1.952,2.491,4.528,0.468,0.3433,0.4173,0.063
Drew Rasmussen,SP,STARTER,TB,HOME,BOS@TB,2026-06-10T13:10:00-04:00,BOS,4.3,17.084,11.65,17.15,22.46,6.8,27.05,35.2,7.806,5.652,22.83,5.243,1.242,1.988,4.511,0.416,0.3478,0.4158,0.0497
George Kirby,SP,STARTER,SEA,AWAY,SEA@BAL,2026-06-10T18:35:00-04:00,BAL,4.4,16.768,11.35,16.75,22.05,6.65,27.0,35.15,7.87,5.597,22.83,5.363,0.997,2.156,4.823,0.456,0.3412,0.4095,0.0473
Jared Jones,SP,STARTER,PIT,HOME,LA@PIT,2026-06-10T18:40:00-04:00,LA,4.9,16.717,11.15,16.65,22.05,6.5,26.9,35.4,7.946,5.669,23.61,6.049,1.848,2.614,4.698,0.635,0.2858,0.3498,0.0512
Shota Imanaga,SP,STARTER,CHI-N,AWAY,CHI-N@COL,2026-06-10T20:40:00-04:00,COL,6.4,16.601,11.2,16.55,22.05,6.35,27.05,34.55,7.973,6.029,24.29,5.696,1.206,2.925,5.009,0.874,0.3219,0.4245,0.0496
Parker Messick,SP,STARTER,CLE,HOME,NY-A@CLE,2026-06-10T13:10:00-04:00,NY-A,4.5,16.472,11.2,16.45,21.75,6.25,26.55,34.8,7.839,5.602,22.92,5.47,1.495,2.341,4.54,0.617,0.3205,0.3942,0.0427
Framber Valdez,SP,STARTER,DET,HOME,MIN@DET,2026-06-10T18:40:00-04:00,MIN,3.9,16.44,11.0,16.3,21.75,6.35,26.65,35.0,7.849,5.462,22.94,5.518,1.712,2.159,4.552,0.419,0.3342,0.3313,0.0463
Max Scherzer,SP,STARTER,TOR,HOME,PHI@TOR,2026-06-10T19:07:00-04:00,PHI,4.6,16.234,10.85,16.2,21.65,6.05,26.3,34.65,7.842,5.563,22.81,5.699,1.432,2.623,4.503,0.761,0.3172,0.3599,0.0399
MacKenzie Gore,SP,STARTER,TEX,AWAY,TEX@KC,2026-06-10T19:40:00-04:00,KC,4.0,16.165,10.45,16.1,21.8,5.75,26.5,34.7,8.043,5.416,23.14,5.889,2.066,2.482,4.542,0.52,0.3143,0.3333,0.0436
Robbie Ray,SP,STARTER,SF,HOME,WSH@SF,2026-06-10T15:45:00-04:00,WSH,3.9,15.979,10.55,15.85,21.3,5.9,26.1,34.35,7.834,5.424,22.78,5.54,2.019,2.332,4.158,0.517,0.3025,0.3063,0.0388
Brandon Sproat,SP,STARTER,MIL,AWAY,MIL@ATH,2026-06-10T21:05:00-04:00,ATH,4.8,14.722,9.25,14.75,20.05,4.5,24.75,33.25,7.863,5.563,24.2,5.431,2.321,2.712,4.62,0.554,0.3065,0.3128,0.0274
David Peterson,SP,PRIMARY,NY-N,HOME,STL@NY-N,2026-06-10T19:10:00-04:00,STL,3.9,14.466,9.2,14.3,19.65,4.85,24.35,31.95,7.49,4.983,21.56,5.174,1.768,2.157,4.415,0.352,0.2765,0.1458,0.0213
Foster Griffin,SP,STARTER,WSH,AWAY,WSH@SF,2026-06-10T15:45:00-04:00,SF,4.0,14.38,8.95,14.27,19.55,4.7,24.35,32.45,7.682,5.372,22.75,5.21,1.691,2.645,4.487,0.621,0.2846,0.2751,0.0217
Mike Paredes,SP,STARTER,MIN,AWAY,MIN@DET,2026-06-10T18:40:00-04:00,DET,4.2,14.137,8.75,14.07,19.3,4.35,24.0,31.95,7.635,5.469,23.18,4.812,1.951,2.475,4.595,0.519,0.2994,0.3305,0.0203
Davis Martin,SP,STARTER,CHI-A,HOME,ATL@CHI-A,2026-06-10T19:40:00-04:00,ATL,4.7,13.967,8.6,13.9,19.15,4.15,23.75,31.45,7.574,5.588,23.67,4.764,1.742,2.592,4.838,0.524,0.2896,0.3584,0.0179
Jake Bennett,SP,STARTER,BOS,AWAY,BOS@TB,2026-06-10T13:10:00-04:00,TB,4.0,13.605,8.35,13.5,18.7,4.05,23.35,31.05,7.461,5.41,22.92,4.624,1.824,2.539,4.662,0.552,0.3124,0.3037,0.0148
Brady Singer,SP,STARTER,CIN,AWAY,CIN@SD,2026-06-10T16:10:00-04:00,SD,4.0,13.244,8.15,13.1,18.3,3.55,23.0,30.9,7.478,5.361,22.91,4.755,1.428,2.751,4.825,0.576,0.2791,0.2842,0.0142
