PlayerId,Name,Team,Age,Last_PA,Career_PA,N_BIP,mle_source,Pred_target_team_abbr,team_assign_source,pt_tier,pt_source,Proj_IP,evidence_volume,evidence_season,P_K,P_BB,P_HBP,P_SF,P_HR,P_3B,P_2B,P_1B,P_BIPOut,SD_K,SD_BB,SD_HBP,SD_SF,SD_HR,SD_3B,SD_2B,SD_1B,SD_BIPOut,Pred_target_team_id,P_K_park,P_BB_park,P_HBP_park,P_HR_park,P_1B_park,P_2B_park,P_3B_park,P_SF_park,P_BIPOut_park,AVG_park,OBP_park,BABIP_park,AVG_against_park,BABIP_against_park,home_park_team_id,pf_HR,pf_1B,pf_2B,pf_3B,pf_BB,pf_SO,eff_HR,eff_1B,eff_2B,eff_3B,eff_BB,eff_SO,role,weighted_IP_per_G,er_ra_ratio,RA9,RA9_park,ERA,ERA_park,R_per_PA,R_per_PA_park,TBF_per_IP,TBF_per_IP_park,HBP_pct,HBP_pct_park,Pred_WP_per_PA,n_eff_WP,vL_share,vR_share,PitchHand,P_K_vL,P_K_vR,P_BB_vL,P_BB_vR,P_HBP_vL,P_HBP_vR,P_HR_vL,P_HR_vR,P_1B_vL,P_1B_vR,P_2B_vL,P_2B_vR,P_3B_vL,P_3B_vR,P_SF_vL,P_SF_vR,P_BIPOut_vL,P_BIPOut_vR
695243,Mason Miller,SD,28,246.0,868.0,1200,,SD,history,projected,unmodeled,,246.0,2026.0,0.3899,0.09763,0.00831,0.0069,0.02078,0.00204,0.02772,0.10459,0.34213,0.03765,0.01854,0.00295,0.00263,0.00236,0.00022,0.00215,0.00391,0.00466,135.0,0.39185,0.0991,0.00831,0.0213,0.10302,0.02592,0.00174,0.0069,0.34187,0.17159,0.25939,0.27654,0.17159,0.27654,135.0,1.05,0.97,0.87,0.71,1.03,1.01,1.025,0.985,0.935,0.855,1.015,1.005,reliever,1.0825235554888322,0.889,2.57799,2.52582,2.29183,2.24545,0.07266,0.07135,3.94218,3.93323,0.8313,0.8313,0.01172,603.6409937499999,0.46286,0.53714,R,0.3817,0.39696,0.11814,0.07996,0.00861,0.00806,0.02363,0.01833,0.09978,0.10873,0.02601,0.02919,0.00221,0.00189,0.0067,0.00708,0.33323,0.34981
621242,Edwin Díaz,LAD,33,79.0,788.0,1200,,LAD,history,projected,unmodeled,,258.0,2025.0,0.3509,0.08821,0.01945,0.00751,0.02943,0.00256,0.03339,0.10886,0.3597,0.03997,0.01922,0.00468,0.00286,0.0031,0.00025,0.00241,0.00404,0.00499,119.0,0.35441,0.08909,0.01945,0.03297,0.10559,0.03238,0.00211,0.00751,0.35649,0.19577,0.28159,0.28211,0.19577,0.28211,119.0,1.24,0.94,0.94,0.65,1.02,1.02,1.12,0.97,0.97,0.825,1.01,1.01,reliever,1.0156984280079748,0.889,3.41614,3.49931,3.03695,3.11089,0.09357,0.09589,4.05649,4.05479,1.94478,1.94478,0.01241,490.4767484374999,0.50332,0.49668,R,0.3555,0.34625,0.10514,0.07104,0.01633,0.02261,0.03377,0.02504,0.1002,0.11764,0.03451,0.03225,0.00387,0.00123,0.0083,0.00671,0.34239,0.37724
623352,Josh Hader,HOU,33,155.0,1089.0,1200,,HOU,history,projected,unmodeled,,206.0,2025.0,0.34222,0.09009,0.00931,0.00481,0.02837,0.00257,0.03603,0.09806,0.38853,0.03513,0.01716,0.00281,0.00199,0.00288,0.00021,0.00256,0.00392,0.00517,117.0,0.3542,0.09054,0.00931,0.03007,0.09659,0.03531,0.00236,0.00481,0.37679,0.18356,0.2642,0.26273,0.18356,0.26273,117.0,1.12,0.97,0.96,0.84,1.01,1.07,1.06,0.985,0.98,0.92,1.005,1.035,reliever,1.0267055695764793,0.889,3.08943,3.113,2.7465,2.76745,0.08668,0.08737,3.96026,3.95894,0.93077,0.93077,0.01058,669.0666571874999,0.26818,0.73182,L,0.30743,0.35497,0.08838,0.09072,0.00642,0.01037,0.02421,0.0299,0.11576,0.09158,0.04234,0.03372,0.00453,0.00185,0.00614,0.00433,0.4048,0.38256
694819,Jacob Misiorowski,MIL,25,636.0,909.0,800,,MIL,history,projected,unmodeled,,636.0,2026.0,0.34156,0.07957,0.01302,0.00177,0.02141,0.0032,0.02947,0.115,0.39499,0.03373,0.01558,0.0036,0.00131,0.00308,0.00048,0.00255,0.00526,0.0062,158.0,0.36035,0.08196,0.01302,0.02173,0.1127,0.0277,0.00298,0.00177,0.37778,0.1828,0.2601,0.27512,0.1828,0.27512,158.0,1.03,0.96,0.88,0.86,1.06,1.11,1.015,0.98,0.94,0.93,1.03,1.055,starter,5.551952074101033,0.934,2.78521,2.70703,2.60138,2.52836,0.07844,0.0764,3.94546,3.93701,1.30239,1.30239,0.00738,737.8425,0.51758,0.48242,R,0.4006,0.27822,0.08214,0.07682,0.01476,0.01116,0.02113,0.02171,0.09579,0.13562,0.02964,0.02929,0.00317,0.00324,0.0019,0.00163,0.35088,0.44231
642585,Félix Bautista,BAL,32,142.0,632.0,400,,BAL,history,projected,unmodeled,,142.0,2025.0,0.34067,0.10837,0.00545,0.00375,0.03206,0.00283,0.03731,0.09606,0.3735,0.04544,0.02412,0.00276,0.00223,0.00512,0.0004,0.00431,0.00634,0.00862,110.0,0.34067,0.10566,0.00545,0.03367,0.09702,0.03713,0.00294,0.00375,0.37372,0.19292,0.28187,0.26838,0.19292,0.26838,110.0,1.1,1.02,0.99,1.08,0.95,1.0,1.05,1.01,0.995,1.04,0.975,1.0,reliever,0.9904761904761904,0.889,3.51856,3.5835,3.128,3.18573,0.09635,0.09816,4.0576,4.05637,0.54504,0.54504,0.01082,338.56792531249994,0.45322,0.54678,R,0.33918,0.3419,0.11627,0.10183,0.00507,0.00577,0.03245,0.03174,0.09355,0.09814,0.03658,0.03792,0.00368,0.00212,0.00328,0.00414,0.36994,0.37644
547973,Aroldis Chapman,BOS,39,210.0,1112.0,1200,,BOS,history,projected,unmodeled,,228.0,2025.0,0.33385,0.11448,0.00493,0.00553,0.02479,0.0025,0.03373,0.11231,0.36786,0.03414,0.01865,0.00203,0.00211,0.00276,0.00026,0.00238,0.0041,0.00505,111.0,0.32884,0.11334,0.00493,0.02331,0.11512,0.0371,0.00237,0.00553,0.36945,0.20304,0.29618,0.29501,0.20304,0.29501,111.0,0.88,1.05,1.2,0.9,0.98,0.97,0.94,1.025,1.1,0.95,0.99,0.985,reliever,0.9330993809081598,0.889,3.42458,3.49644,3.04445,3.10834,0.09238,0.09387,4.11879,4.13882,0.49335,0.49335,0.01652,706.9455312499999,0.30454,0.69546,L,0.29756,0.34974,0.11748,0.11317,0.00908,0.00312,0.02206,0.02599,0.12697,0.1059,0.03233,0.03434,0.00412,0.00179,0.00624,0.00522,0.38415,0.36073
642207,Devin Williams,NYM,32,178.0,996.0,1200,,NYM,history,projected,unmodeled,,259.0,2025.0,0.32951,0.10805,0.01011,0.00342,0.02403,0.002,0.03464,0.11169,0.37654,0.03591,0.01919,0.00305,0.00175,0.0027,0.00019,0.00252,0.00428,0.00526,121.0,0.33445,0.11129,0.01011,0.02415,0.10946,0.03343,0.00179,0.00342,0.37189,0.19292,0.29024,0.28008,0.19292,0.28008,121.0,1.01,0.96,0.93,0.79,1.06,1.03,1.005,0.98,0.965,0.895,1.03,1.015,reliever,0.9323608029609849,0.889,3.36993,3.32523,2.99586,2.95613,0.09119,0.09002,4.1059,4.10419,1.01122,1.01122,0.00983,619.5432187499999,0.46759,0.53241,R,0.26927,0.3824,0.11563,0.10139,0.014,0.00669,0.02748,0.02101,0.11398,0.10968,0.03326,0.03586,0.00281,0.0013,0.00379,0.0031,0.41977,0.33857
671922,Cade Smith,CLE,28,278.0,867.0,1200,,CLE,history,projected,unmodeled,,300.0,2025.0,0.32739,0.071,0.01255,0.00792,0.02047,0.00283,0.04125,0.11908,0.3975,0.0356,0.01576,0.00361,0.00282,0.0025,0.00026,0.00279,0.00449,0.00544,114.0,0.33558,0.07136,0.01255,0.01975,0.11908,0.04208,0.00229,0.00792,0.38939,0.20173,0.26711,0.29566,0.20173,0.29566,114.0,0.93,1.0,1.04,0.62,1.01,1.05,0.965,1.0,1.02,0.81,1.005,1.025,reliever,1.023912892957203,0.889,3.05308,3.01481,2.71419,2.68016,0.08534,0.08428,3.97506,3.97466,1.25456,1.25456,0.00988,630.532125,0.48922,0.51078,R,0.35902,0.29711,0.07335,0.06876,0.005,0.01977,0.02198,0.01902,0.10719,0.13048,0.036,0.04629,0.00407,0.00164,0.01075,0.00521,0.38265,0.41173
662253,Andrés Muñoz,SEA,28,234.0,1179.0,1200,,SEA,history,projected,unmodeled,,254.0,2025.0,0.32693,0.09657,0.0142,0.00679,0.02399,0.00195,0.03016,0.11629,0.38312,0.03323,0.01693,0.00333,0.00228,0.00272,0.00028,0.00222,0.00426,0.00507,136.0,0.35471,0.09416,0.0142,0.02375,0.11106,0.0279,0.00132,0.00679,0.36611,0.18538,0.27239,0.27702,0.18538,0.27702,136.0,0.98,0.91,0.85,0.36,0.95,1.17,0.99,0.955,0.925,0.68,0.975,1.085,reliever,0.9690253860840798,0.889,3.20817,2.9212,2.85207,2.59695,0.08772,0.08107,4.06369,4.00352,1.42023,1.42023,0.0129,745.0742362499999,0.47609,0.52391,R,0.33109,0.32314,0.11113,0.08335,0.00994,0.01807,0.02639,0.02181,0.11166,0.12049,0.02934,0.0309,0.00273,0.00124,0.00532,0.00812,0.37239,0.39287
518585,Fernando Cruz,NYY,37,234.0,1065.0,1200,,NYY,history,projected,unmodeled,,234.0,2026.0,0.32006,0.11512,0.00863,0.00575,0.02512,0.00297,0.03892,0.1035,0.37992,0.03403,0.01884,0.00273,0.0022,0.00284,0.0003,0.00269,0.00401,0.00528,147.0,0.32486,0.12318,0.00863,0.02738,0.09884,0.03795,0.0026,0.00575,0.37081,0.19337,0.29858,0.27321,0.19337,0.27321,147.0,1.18,0.91,0.95,0.75,1.14,1.03,1.09,0.955,0.975,0.875,1.07,1.015,reliever,0.9433470526386709,0.889,3.53739,3.63969,3.14474,3.23568,0.09522,0.09738,4.12757,4.15298,0.86294,0.86294,0.01535,694.3048837499999,0.44252,0.55748,R,0.28794,0.34556,0.13085,0.10263,0.00499,0.01152,0.02654,0.02399,0.1034,0.10358,0.04037,0.03778,0.00425,0.00196,0.00717,0.00463,0.39448,0.36837
